(111b,1721) (1337,1721)
(43d,53b) (13d,53b)
(2611,73d3) (1591,73d3)
(ab,2b9) (83,2b9)
(57e3,59cb) (26ab,59cb)
(6331,7a8d) (5f11,7a8d)
(6c7,bab) (6c7,bab)
(8dd,a07) (595,a07)
(2a01,31a3) (2f41,31a3)
(24f,c1f) (9cf,c1f)
(16f7,5b99) (1f03,5b99)
(637,31a5) (253b,31a5)
(4c3,188b) (3d3,188b)
(12b,30d) (c7,30d)
(89f,2575) (1af3,2575)
(6539,89bf) (1791,89bf)
(8687,89a5) (16f7,89a5)
(29f,f79) (35f,f79)
(ab1,896f) (4da1,896f)
(1aad,4469) (33fd,4469)
(2e2b,5ef3) (3b93,5ef3)
(ecf,15e9) (146f,15e9)
(5b1b,78d1) (1f63,78d1)
(5c1f,6307) (f7,6307)
(4d3,791) (5ab,791)
(6f7,111b) (7ff,111b)
(150d,3ccb) (745,3ccb)
(385,c4d) (b41,c4d)
(545,1535) (4cd,1535)
(de5,112f) (54d,112f)
(47b,10d5) (517,10d5)
(2d6d,3b2f) (261d,3b2f)
(4b61,60dd) (a21,60dd)
(547,8b3) (137,8b3)
(4773,879d) (11db,879d)
(29,29e1) (a01,29e1)
(16bb,23b7) (a13,23b7)
(751,8cb3) (7e1,8cb3)
(975,168d) (7bd,168d)
(3c61,4319) (1da1,4319)
(74ab,8659) (3d7,8659)
(431,6515) (e51,6515)
(ff7,1f57) (887,1f57)
(30d7,4567) (2657,4567)
(1d1d,30f5) (1e25,30f5)
(2e3,6029) (2077,6029)
(f49,28a3) (2569,28a3)
(3853,870b) (7903,870b)
(4bd,7a51) (6a15,7a51)
(15f7,188b) (697,188b)
(c1,f7) (a9,f7)
(76d,18a9) (11dd,18a9)
(897,304f) (2d1f,304f)
(5ab,1553) (129b,1553)
(47,13f) (47,13f)
(3d7,4ed) (2e7,4ed)
(1c57,55d3) (53bf,55d3)
(1859,19df) (6b9,19df)
(162d,22cd) (265,22cd)
(df,2bf) (f7,2bf)
(2203,4e83) (e3b,4e83)
(13d,1907) (1685,1907)
(fbb,78f7) (4d83,78f7)
(6f,439) (9b,439)
(7af,a0d) (3d7,a0d)
(2525,3eed) (13cd,3eed)
(1075,23fb) (ccd,23fb)
(5db,1235) (14f,1235)
(297,a03) (7,a03)
(c1d,5def) (4625,5def)
(335,abb) (2bd,abb)
(4153,43d3) (25db,43d3)
(946d,9973) (4685,9973)
(115,289) (201,289)
(1cb,4db) (423,4db)
(4f21,669d) (11a1,669d)
(2e73,380f) (2f7b,380f)
(9f1,250f) (18d9,250f)
(877,1b7d) (9c7,1b7d)
(8165,d5cb) (4655,d5cb)
(fd3,174b) (92b,174b)
(304f,3233) (2bf,3233)
(1451,4c25) (1db1,4c25)
(d49,27df) (9c9,27df)
(1625,2ae5) (22f1,2ae5)
(3a1,3415) (3239,3415)
(30fd,3eed) (2bd5,3eed)
(60f,2257) (2047,2257)
(2b99,7c99) (3c3d,7c99)
(553,afd) (65b,afd)
(13df,4ba7) (9ef,4ba7)
(3181,5e4b) (5421,5e4b)
(2177,626f) (5f27,626f)
(1a5d,49eb) (262d,49eb)
(1a83,294d) (7ab,294d)
(11a5,5fbf) (22d,5fbf)
(1de7,2165) (2f3,2165)
(902f,bd3b) (a4cf,bd3b)
(355f,3f71) (97f,3f71)
(3ef,ca7) (44f,ca7)
(5d95,67b5) (8a5,67b5)
(7301,9389) (436d,9389)
(1a65,404b) (2065,404b)
(2999,2f6b) (581,2f6b)
(52e5,bb57) (2ced,bb57)
(3b,917) (7a3,917)
(8d,247) (1cd,247)
(869,1493) (6d1,1493)
(629,143f) (1d9,143f)
(fa1,2575) (16e5,2575)
(487f,68ad) (47cb,68ad)
(5a1,68ad) (594d,68ad)
(fb,5849) (533,5849)
(1beb,1fdf) (be3,1fdf)
(13,76f) (603,76f)
(13e5,65c3) (11a5,65c3)
(2339,2b8b) (1421,2b8b)
(263b,2e99) (2407,2e99)
(4df,373d) (4df,373d)
(2db5,9973) (50dd,9973)
(2635,2c27) (213d,2c27)
(10d,9cb) (35,9cb)
(14b5,2ffb) (1b1d,2ffb)
(45f7,544f) (3c47,544f)
(3b5,b5f) (60d,b5f)
(12a9,533f) (2209,533f)
(1255,5aad) (78d,5aad)
(4f6b,598f) (12a3,598f)
(d03,21a3) (17b3,21a3)
(177b,a2dd) (5b73,a2dd)
(b8f,339d) (9af,339d)
(897,72a9) (5597,72a9)
(2321,2677) (899,2677)
(beb5,c31d) (2b49,c31d)
(7f1,a51) (58d,a51)
(1085,171d) (c4d,171d)
(12c1,198d) (259,198d)
(3a9,967) (141,967)
(567,a45) (4cb,a45)
(3b1,1927) (4a1,1927)
(6b,b6b) (3cb,b6b)
(2761,532d) (2b2d,532d)
(66c7,8549) (7837,8549)
(bab,1811) (f53,1811)
(43d3,add7) (73bb,add7)
(59f,19f9) (13af,19f9)
(379,733) (589,733)
(46ff,9089) (8047,9089)
(2443,25e5) (2b,25e5)
(1511,2579) (14b1,2579)
(9d,e05) (6b5,e05)
(805,ad5) (945,ad5)
(487,287b) (10b7,287b)
(2a01,4495) (1501,4495)
(13d,17e7) (d55,17e7)
(433,4085) (adb,4085)
(b741,bcbf) (9869,bcbf)
(34d,104b) (305,104b)
(1d5f,5c9b) (54af,5c9b)
(593,40fd) (53f,40fd)
(3289,42d9) (2929,42d9)
(f2f,418d) (14cf,418d)
(2f25,4999) (1c8d,4999)
(739,b41) (39d,b41)
(3f3b,53c9) (2b73,53c9)
(1f,4a5) (33f,4a5)
(155,4ae9) (2e55,4ae9)
(12c5,37ed) (3341,37ed)
(e7d,1721) (1189,1721)
(2797,2d8f) (18f7,2d8f)
(3a1,671) (461,671)
(459f,4db9) (188f,4db9)
(1c03,231d) (1a4b,231d)
(ddf,3aaf) (7c7,3aaf)
